,gene_id,names
118,181792,2L52.1
400,174194,ada-2
13,172889,aha-1
2,190458,aptf-2
310,185047,aptf-3
1,174376,aptf-4
107,173749,ast-1
27,181576,atf-5
29,179922,atfs-1
139,190777,atg-4.1
8,176517,athp-1
316,178479,athp-3
411,175173,attf-3
313,3565014,attf-5
4,173147,B0019.2
300,178915,B0238.11
511,181882,B0250.4
146,180403,B0310.2
424,175800,B0336.3
373,176576,bed-2
119,177731,C01F6.9
120,182124,C02F5.12
375,182319,C06E2.1
148,177545,C08G9.2
173,182454,C09F5.3
404,175905,C16A3.4
115,172769,C17E4.6
416,181132,C28G1.4
102,181746,C30G4.4
186,181059,C34D10.2
312,181312,C34F6.9
187,183235,C35D6.4
121,173716,C46E10.8
504,3564865,C46H3.2
377,174148,C52E12.1
426,179584,ccch-1
425,179733,ccch-3
193,178412,ccch-5
358,172639,cdc-5L
348,191614,ceh-1
62,175811,ceh-10
350,174894,ceh-100
343,172255,ceh-12
50,176069,ceh-13
342,191618,ceh-16
351,172059,ceh-17
59,180671,ceh-18
48,177590,ceh-19
69,3565545,ceh-20
341,180504,ceh-21
56,179485,ceh-22
58,176096,ceh-23
349,179877,ceh-24
347,191620,ceh-30
54,191621,ceh-31
67,178919,ceh-34
354,191624,ceh-40
53,175581,ceh-43
44,175372,ceh-44
43,182756,ceh-48
340,179001,ceh-49
52,191616,ceh-5
345,180233,ceh-51
338,188474,ceh-54
71,184803,ceh-60
49,187642,ceh-62
318,6418830,ceh-63
36,174391,ceh-7
41,191149,ceh-74
35,179809,ceh-79
64,191617,ceh-8
38,185767,ceh-81
60,173541,ceh-83
37,173597,ceh-86
68,178514,ceh-88
40,3565071,ceh-90
339,176594,ceh-91
42,180394,ceh-93
359,172616,cep-1
167,185718,ces-1
337,172219,cey-2
34,172211,cey-3
311,188793,cfi-1
387,175707,cid-1
378,183908,D1046.2
122,172516,D2030.7
462,181263,daf-12
113,174577,daf-19
80,187612,daf-8
428,178476,dct-13
432,181606,dhhc-1
435,180745,dhhc-10
434,186602,dhhc-12
196,186797,dhhc-13
433,172257,dhhc-3
197,191420,dhhc-4
437,187870,dhhc-5
436,178158,dhhc-6
195,173045,dhhc-7
438,176731,dhhc-8
431,183426,dhhc-9
198,181581,dmd-4
200,184287,dmd-5
376,175832,dpff-1
372,174458,dpl-1
31,179365,drap-1
32,191629,dro-1
507,176376,ech-6
132,179832,eea-1
114,174341,efl-3
73,180833,egl-13
205,176992,egl-18
101,174005,egl-44
388,179058,egl-46
157,181580,egrh-1
420,191363,ehn-3
84,173310,ekl-4
203,181250,elt-2
206,181503,elt-3
441,181249,elt-4
204,176993,elt-6
180,177249,eor-1
106,180927,ets-4
505,173293,eya-1
65,190204,eyg-1
302,184210,F08G12.3
166,184285,F10B5.3
9,180410,F13C5.2
366,184684,F19F10.1
401,184756,F21A9.2
379,184771,F21D5.9
380,184794,F21G4.5
116,172441,F22D6.2
30,179947,F23B12.7
419,184991,F26F4.8
91,172753,F26H9.2
188,172538,F27D4.4
382,172540,F27D4.6
123,185560,F40G9.14
384,185732,F44D12.10
402,176245,F44E2.7
125,177529,F49E8.2
85,176241,F54F2.9
127,178384,F55B11.4
168,186375,F56D1.1
509,186391,F56E10.1
407,172100,F57C9.4
370,180663,fkh-2
108,181465,fkh-3
109,181466,fkh-4
369,174026,fkh-8
111,180670,fkh-9
440,177749,flh-1
201,175670,flh-2
202,189435,flh-3
329,178987,fos-1
126,186155,frpr-9
208,172733,gei-17
92,182061,gmeb-1
301,175723,gop-3
304,178064,H02I12.5
103,178205,ham-1
321,180359,hif-1
179,173348,hinf-1
317,173788,hlh-1
23,191402,hlh-10
324,176360,hlh-11
319,182980,hlh-12
16,185980,hlh-13
14,183427,hlh-15
320,183973,hlh-16
17,186449,hlh-19
18,172458,hlh-2
12,182717,hlh-25
24,173939,hlh-26
11,182719,hlh-27
327,189728,hlh-33
20,179860,hlh-34
325,176372,hlh-4
21,188539,hlh-6
74,173124,hmg-20
72,172250,hmg-3
355,185946,hmg-6
15,183457,hnd-1
510,190192,hsf-2
124,24104588,irld-33
353,172789,irx-1
10,175944,isw-1
386,173978,K05F1.5
151,180599,K10B3.5
129,259619,K11D12.12
160,175404,klf-1
414,173366,klu-1
164,172339,klu-2
76,177373,lag-1
367,172331,let-381
174,182953,let-391
26,266837,let-607
346,172236,lim-7
104,177016,lin-1
336,172626,lin-28
112,173740,lin-31
326,191703,lin-32
45,176068,lin-39
383,174707,lir-3
170,172844,lsl-1
412,353399,lst-5
169,180522,lsy-2
199,266926,mab-23
46,176091,mab-5
97,173441,mab-9
79,190925,madf-10
78,179386,madf-4
308,madf-7,madf-7
398,175040,mcd-1
19,180942,mdl-1
51,177938,mec-3
443,191705,med-1
442,191706,med-2
356,172732,mef-2
417,178074,mep-1
427,174836,mex-1
191,178296,mex-5
185,174504,mex-6
361,3565074,miz-1
94,186741,mls-1
55,180751,mls-2
155,182489,mnm-2
22,179557,mxl-1
322,175184,mxl-2
323,181457,mxl-3
33,181368,nfya-1
335,173435,nfyb-1
334,173385,nfyc-1
271,181783,nhr-1
221,177806,nhr-100
479,179588,nhr-101
275,180062,nhr-102
244,178701,nhr-103
212,177476,nhr-105
272,178571,nhr-106
498,178651,nhr-110
249,185757,nhr-111
499,180115,nhr-112
465,24104436,nhr-117
264,187340,nhr-119
219,182733,nhr-124
485,187520,nhr-125
241,185731,nhr-126
245,178700,nhr-128
295,178696,nhr-13
247,185729,nhr-133
242,185728,nhr-134
217,182566,nhr-136
459,183865,nhr-137
222,3565904,nhr-138
225,183179,nhr-139
248,185740,nhr-142
257,186626,nhr-143
292,6418682,nhr-146
444,182172,nhr-148
445,182174,nhr-149
210,182297,nhr-150
215,182564,nhr-153
216,182565,nhr-154
449,182727,nhr-156
450,182731,nhr-158
451,182732,nhr-159
278,173781,nhr-16
224,183178,nhr-161
227,183558,nhr-165
458,183613,nhr-167
229,353455,nhr-168
230,183768,nhr-169
231,183862,nhr-173
232,184021,nhr-174
464,184496,nhr-176
236,184557,nhr-177
238,184560,nhr-178
237,184562,nhr-179
243,178702,nhr-18
469,185483,nhr-181
470,185593,nhr-182
473,185907,nhr-185
250,185909,nhr-186
251,185912,nhr-188
460,174512,nhr-19
252,185999,nhr-190
255,186431,nhr-192
476,180098,nhr-193
256,186625,nhr-195
482,187053,nhr-196
261,187055,nhr-197
262,187056,nhr-198
454,172251,nhr-2
471,175546,nhr-20
484,187410,nhr-203
265,187567,nhr-205
266,187660,nhr-206
267,187661,nhr-207
268,187662,nhr-208
269,187663,nhr-209
486,187830,nhr-210
273,187964,nhr-212
489,188172,nhr-213
490,188330,nhr-217
481,174066,nhr-22
281,188826,nhr-221
491,188828,nhr-222
492,188934,nhr-223
283,188975,nhr-226
284,188976,nhr-227
286,191001,nhr-229
494,189442,nhr-230
289,189445,nhr-231
290,179426,nhr-232
291,189569,nhr-233
495,189663,nhr-234
294,189970,nhr-237
463,181432,nhr-25
501,191205,nhr-253
502,191206,nhr-254
448,182697,nhr-257
453,182927,nhr-258
276,188212,nhr-26
228,183611,nhr-261
234,184443,nhr-264
253,186410,nhr-266
260,187054,nhr-268
270,187716,nhr-269
277,188451,nhr-273
296,190581,nhr-276
309,191202,nhr-278
214,181705,nhr-28
235,184567,nhr-281
475,3565118,nhr-283
299,4363091,nhr-286
452,177601,nhr-31
483,187178,nhr-32
298,191322,nhr-33
213,180725,nhr-35
233,24104398,nhr-36
480,191720,nhr-38
472,185720,nhr-39
467,177839,nhr-4
274,180560,nhr-40
455,179084,nhr-42
466,180738,nhr-45
456,177350,nhr-46
446,180067,nhr-50
258,180052,nhr-51
259,180053,nhr-53
239,180106,nhr-54
246,178699,nhr-56
488,178813,nhr-57
487,178573,nhr-58
493,178707,nhr-59
254,180059,nhr-60
211,180068,nhr-63
226,171884,nhr-64
288,180230,nhr-65
447,178024,nhr-67
478,179589,nhr-68
280,172840,nhr-69
474,178035,nhr-7
263,181491,nhr-71
218,191721,nhr-72
209,182276,nhr-76
279,191726,nhr-77
282,180265,nhr-79
468,177551,nhr-8
477,175167,nhr-80
457,191728,nhr-81
285,191732,nhr-85
293,176972,nhr-87
461,184026,nhr-89
297,191718,nhr-9
500,178577,nhr-90
287,181621,nhr-91
497,176971,nhr-92
496,180254,nhr-95
90,185967,npax-2
89,182466,npax-4
156,3896760,nsy-7
194,179183,oma-2
47,175638,pal-1
162,181714,pat-9
88,187105,pax-1
360,187062,pax-2
142,172504,pbrm-1
439,180532,peb-1
371,177267,pes-1
368,180357,pha-4
344,176640,php-3
429,176667,pie-1
39,177540,plp-1
105,184719,plp-2
189,179224,pos-1
406,174705,pqm-1
315,177165,pqn-75
503,174392,prx-5
390,176844,R02D3.7
391,187601,R05D3.3
152,175554,R10E4.11
82,176020,R151.8
397,177603,rabs-5
5,177706,rad-26
3,177985,rbr-2
207,171592,rcor-1
158,183539,ref-2
184,176507,rnf-113
362,172243,rnt-1
143,179505,saeg-1
6,176303,saeg-2
150,181701,sdc-1
220,180009,sdc-3
153,191448,sdz-38
363,173710,sea-1
128,173738,sea-2
506,181539,sel-7
176,172435,sem-4
314,176802,set-16
7,177196,set-9
240,181231,sex-1
332,177343,skn-1
81,176229,sma-2
357,175815,sma-4
178,181271,sma-9
87,172711,snpc-4
141,176090,snu-23
86,179192,spr-1
421,180722,spr-3
145,172596,spr-4
385,172909,sptf-1
161,188733,sptf-2
163,189783,sptf-3
374,182221,srab-2
223,183034,srt-58
136,190015,sup-35
75,175393,swsn-3
154,174286,swsn-7
415,180985,syd-9
392,188197,T06G6.5
413,188228,T07D10.3
83,174173,T07F8.4
365,188577,T18D3.7
133,188732,T22C8.4
134,175612,T23F11.4
190,177643,T26A8.4
93,185575,tbx-11
100,191435,tbx-36
364,190678,tbx-39
98,190679,tbx-40
96,188917,tbx-41
99,260030,tbx-7
95,176450,tbx-8
394,178338,tlp-1
418,176548,tra-1
63,180313,ttx-1
381,171804,ubxn-1
110,174721,unc-130
77,181573,unc-3
66,178265,unc-30
61,192081,unc-42
70,178845,unc-62
405,181020,unc-98
57,181197,vab-15
352,181251,vab-3
408,179212,W02D7.6
395,189182,W04B5.2
331,175541,xbp-1
192,178477,Y116A8C.19
508,174837,Y17G7B.20
409,177118,Y37E11B.1
396,259399,Y37F4.6
135,171918,Y47G6A.7
144,3565634,Y48G8AL.10
181,190310,Y55F3AM.14
430,176918,Y55F3AM.6
172,178004,Y5F2A.4
305,178305,Y62E10A.14
306,176870,Y66H1A.4
138,259490,Y82E9BR.17
307,173536,ZC204.12
423,171670,zfh-2
177,174505,zfp-2
183,177568,zgpa-1
130,3565259,zim-1
393,188246,zim-3
333,177099,zip-11
330,175240,zip-2
28,171900,zip-4
328,183204,zip-5
25,175924,zip-8
140,191237,ZK177.3
165,173850,ZK546.5
399,176095,ZK652.6
117,191389,ZK673.4
182,172845,ztf-11
403,186116,ztf-13
389,187492,ztf-14
171,172470,ztf-15
422,180756,ztf-16
137,174971,ztf-22
175,171880,ztf-23
159,172699,ztf-26
149,185364,ztf-28
147,182317,ztf-30
131,172422,ztf-4
410,175726,ztf-8
303,174951,zyx-1
